Arestas de arvore: 
1 -> 18804
2 -> 35559
3 -> 44939
4 -> 14328
5 -> 30415
5 -> 43750
6 -> 48037
7 -> 6957
8 -> 49323
9 -> 13731
9 -> 39648
10 -> 10082
11 -> 22291
12 -> 35280
13 -> 45341
14 -> 13808
15 -> 31520
15 -> 15611
16 -> 16965
17 -> 10186
18 -> 28685
19 -> 48466
20 -> 32434
22 -> 23779
23 -> 35602
24 -> 4858
25 -> 3152
26 -> 43180
27 -> 19130
28 -> 24115
29 -> 7077
30 -> 29018
31 -> 14056
33 -> 17762
33 -> 43476
34 -> 842
34 -> 43755
35 -> 23361
36 -> 42814
37 -> 27125
38 -> 38219
39 -> 8186
40 -> 34097
41 -> 10237
42 -> 23520
43 -> 5992
44 -> 22598
46 -> 37332
47 -> 25653
48 -> 24731
50 -> 21038
51 -> 25912
52 -> 42565
53 -> 43033
54 -> 37761
55 -> 46283
56 -> 2191
57 -> 26320
58 -> 5627
59 -> 5155
60 -> 35566
61 -> 35550
63 -> 14203
64 -> 40611
65 -> 30278
66 -> 7569
67 -> 32588
68 -> 95
69 -> 48364
70 -> 47386
72 -> 39976
73 -> 26208
74 -> 6852
75 -> 33033
76 -> 23994
77 -> 15695
78 -> 3966
79 -> 33888
79 -> 11125
80 -> 41907
81 -> 45863
82 -> 37492
83 -> 26781
84 -> 29234
85 -> 19987
86 -> 16286
87 -> 17639
88 -> 7508
89 -> 39226
90 -> 18497
91 -> 10095
92 -> 40706
93 -> 37834
94 -> 26290
95 -> 23728
96 -> 17664
97 -> 9199
98 -> 2936
100 -> 11321
101 -> 2016
102 -> 16570
103 -> 3168
104 -> 14857
105 -> 33866
106 -> 28569
107 -> 25506
108 -> 40661
109 -> 18601
109 -> 18632
110 -> 24381
111 -> 12662
112 -> 49915
113 -> 42673
114 -> 23158
115 -> 12995
116 -> 20496
118 -> 44704
119 -> 41761
119 -> 19760
120 -> 40774
121 -> 45520
122 -> 19704
123 -> 21842
124 -> 29183
126 -> 33235
127 -> 13543
128 -> 19276
129 -> 25127
130 -> 11725
131 -> 24484
132 -> 20780
133 -> 26899
134 -> 41108
135 -> 23275
137 -> 44956
138 -> 41963
139 -> 29754
140 -> 28550
141 -> 13078
142 -> 12517
142 -> 21670
142 -> 35427
142 -> 34772
143 -> 12867
144 -> 22003
145 -> 42354
146 -> 3623
147 -> 27439
148 -> 14211
148 -> 26975
148 -> 29858
148 -> 17068
149 -> 39309
150 -> 1360
151 -> 14920
152 -> 37561
152 -> 6684
153 -> 27310
154 -> 43359
155 -> 47229
156 -> 9143
157 -> 5021
158 -> 26936
159 -> 37844
160 -> 12401
161 -> 12719
162 -> 33190
163 -> 41422
164 -> 16072
165 -> 42721
166 -> 4089
167 -> 44413
168 -> 5357
169 -> 10544
170 -> 24483
172 -> 14351
173 -> 42121
174 -> 26458
175 -> 30663
175 -> 35631
176 -> 12515
178 -> 45114
179 -> 12529
180 -> 20730
181 -> 3151
182 -> 46696
183 -> 28108
184 -> 28922
185 -> 5425
185 -> 35304
186 -> 18294
187 -> 4600
188 -> 21330
190 -> 19610
192 -> 24885
193 -> 36954
194 -> 11384
195 -> 560
195 -> 47808
195 -> 42358
196 -> 1153
197 -> 20673
198 -> 28382
199 -> 46027
200 -> 17680
200 -> 11341
200 -> 21247
201 -> 22346
202 -> 29873
204 -> 31918
204 -> 27365
204 -> 19896
205 -> 48943
206 -> 11043
206 -> 13102
207 -> 49312
208 -> 41897
209 -> 43341
210 -> 42904
211 -> 34623
212 -> 49265
213 -> 48377
214 -> 37866
215 -> 13886
216 -> 5552
217 -> 29146
219 -> 42182
220 -> 49955
221 -> 4250
222 -> 7233
223 -> 36384
224 -> 37550
