Arestas de arvore: 
1 -> 10
2 -> 99
3 -> 50
3 -> 89
3 -> 90
4 -> 27
6 -> 84
7 -> 83
8 -> 57
9 -> 93
10 -> 22
11 -> 73
12 -> 33
13 -> 75
14 -> 92
14 -> 59
15 -> 49
16 -> 30
17 -> 85
18 -> 77
19 -> 2
20 -> 82
20 -> 52
21 -> 87
22 -> 71
23 -> 70
24 -> 6
25 -> 45
26 -> 31
27 -> 78
28 -> 15
29 -> 86
30 -> 62
31 -> 97
32 -> 17
33 -> 54
34 -> 42
35 -> 40
39 -> 63
40 -> 74
41 -> 29
41 -> 72
42 -> 46
43 -> 8
44 -> 91
45 -> 81
46 -> 14
46 -> 61
47 -> 38
48 -> 25
49 -> 39
50 -> 64
50 -> 88
50 -> 100
51 -> 80
52 -> 58
53 -> 47
53 -> 41
54 -> 11
56 -> 24
57 -> 94
58 -> 60
58 -> 37
59 -> 53
60 -> 3
60 -> 65
62 -> 51
63 -> 76
65 -> 55
65 -> 23
67 -> 35
68 -> 95
69 -> 16
70 -> 36
71 -> 96
73 -> 56
74 -> 7
75 -> 79
76 -> 13
78 -> 21
79 -> 34
80 -> 98
81 -> 43
83 -> 28
84 -> 26
85 -> 12
86 -> 20
87 -> 32
91 -> 69
93 -> 48
94 -> 19
95 -> 5
95 -> 66
96 -> 9
97 -> 67
98 -> 4
99 -> 44
100 -> 68
100 -> 18

Foram encontradas 99 arestas de arvore
